Posición, punto
501,"(487, 17734)"
502,"(489, 1013)"
503,"(489, 29664)"
504,"(490, 14703)"
505,"(490, 15974)"
506,"(491, 2659)"
507,"(491, 28018)"
508,"(493, 7270)"
509,"(493, 23407)"
510,"(495, 3710)"
511,"(495, 26967)"
512,"(496, 5832)"
513,"(496, 24845)"
514,"(498, 5981)"
515,"(498, 24696)"
516,"(499, 2676)"
517,"(499, 28001)"
518,"(503, 1784)"
519,"(503, 28893)"
520,"(506, 4763)"
521,"(506, 25914)"
522,"(507, 9853)"
523,"(507, 20824)"
524,"(510, 11797)"
525,"(510, 18880)"
526,"(511, 13039)"
527,"(511, 17638)"
528,"(513, 14561)"
529,"(513, 16116)"
530,"(514, 2927)"
531,"(514, 27750)"
532,"(515, 3139)"
533,"(515, 27538)"
534,"(518, 10108)"
535,"(518, 20569)"
536,"(519, 11283)"
537,"(519, 19394)"
538,"(521, 7738)"
539,"(521, 22939)"
540,"(522, 7068)"
541,"(522, 23609)"
542,"(523, 10279)"
543,"(523, 20398)"
544,"(525, 8609)"
545,"(525, 22068)"
546,"(526, 15022)"
547,"(526, 15655)"
548,"(527, 8950)"
549,"(527, 21727)"
550,"(528, 900)"
551,"(528, 29777)"
552,"(530, 15064)"
553,"(530, 15613)"
554,"(534, 1323)"
555,"(534, 29354)"
556,"(535, 3777)"
557,"(535, 26900)"
558,"(537, 10300)"
559,"(537, 20377)"
560,"(538, 12326)"
561,"(538, 18351)"
562,"(540, 12796)"
563,"(540, 17881)"
564,"(541, 2216)"
565,"(541, 28461)"
566,"(542, 15305)"
567,"(542, 15372)"
568,"(544, 5565)"
569,"(544, 25112)"
570,"(545, 3284)"
571,"(545, 27393)"
572,"(547, 6572)"
573,"(547, 24105)"
574,"(548, 4425)"
575,"(548, 26252)"
576,"(551, 10862)"
577,"(551, 19815)"
578,"(554, 4928)"
579,"(554, 25749)"
580,"(555, 9443)"
581,"(555, 21234)"
582,"(556, 13317)"
583,"(556, 17360)"
584,"(557, 9779)"
585,"(557, 20898)"
586,"(559, 12611)"
587,"(559, 18066)"
588,"(561, 10061)"
589,"(561, 20616)"
590,"(562, 7349)"
591,"(562, 23328)"
592,"(564, 9559)"
593,"(564, 21118)"
594,"(565, 4891)"
595,"(565, 25786)"
596,"(567, 2688)"
597,"(567, 27989)"
598,"(568, 7833)"
599,"(568, 22844)"
600,"(569, 11337)"
601,"(569, 19340)"
602,"(570, 14690)"
603,"(570, 15987)"
604,"(571, 7098)"
605,"(571, 23579)"
606,"(572, 2319)"
607,"(572, 28358)"
608,"(573, 4740)"
609,"(573, 25937)"
610,"(576, 14169)"
611,"(576, 16508)"
612,"(578, 4559)"
613,"(578, 26118)"
614,"(581, 7089)"
615,"(581, 23588)"
616,"(582, 6306)"
617,"(582, 24371)"
618,"(587, 2163)"
619,"(587, 28514)"
620,"(589, 10534)"
621,"(589, 20143)"
622,"(592, 6444)"
623,"(592, 24233)"
624,"(593, 5049)"
625,"(593, 25628)"
626,"(595, 4476)"
627,"(595, 26201)"
628,"(596, 11513)"
629,"(596, 19164)"
630,"(599, 7789)"
631,"(599, 22888)"
632,"(600, 4024)"
633,"(600, 26653)"
634,"(603, 12298)"
635,"(603, 18379)"
636,"(604, 10052)"
637,"(604, 20625)"
638,"(605, 6919)"
639,"(605, 23758)"
640,"(610, 7884)"
641,"(610, 22793)"
642,"(611, 11020)"
643,"(611, 19657)"
644,"(612, 6654)"
645,"(612, 24023)"
646,"(614, 7097)"
647,"(614, 23580)"
648,"(615, 10046)"
649,"(615, 20631)"
650,"(616, 13657)"
651,"(616, 17020)"
652,"(617, 7839)"
653,"(617, 22838)"
654,"(618, 8477)"
655,"(618, 22200)"
656,"(619, 3485)"
657,"(619, 27192)"
658,"(622, 10938)"
659,"(622, 19739)"
660,"(623, 5544)"
661,"(623, 25133)"
662,"(624, 631)"
663,"(624, 30046)"
664,"(628, 8107)"
665,"(628, 22570)"
666,"(629, 11684)"
667,"(629, 18993)"
668,"(634, 14890)"
669,"(634, 15787)"
670,"(641, 1852)"
671,"(641, 28825)"
672,"(642, 2905)"
673,"(642, 27772)"
674,"(643, 8515)"
675,"(643, 22162)"
676,"(645, 7646)"
677,"(645, 23031)"
678,"(649, 7208)"
679,"(649, 23469)"
680,"(651, 3721)"
681,"(651, 26956)"
682,"(655, 12544)"
683,"(655, 18133)"
684,"(658, 12630)"
685,"(658, 18047)"
686,"(659, 8670)"
687,"(659, 22007)"
688,"(665, 4799)"
689,"(665, 25878)"
690,"(666, 13711)"
691,"(666, 16966)"
692,"(667, 4862)"
693,"(667, 25815)"
694,"(669, 1566)"
695,"(669, 29111)"
696,"(672, 12854)"
697,"(672, 17823)"
698,"(673, 7087)"
699,"(673, 23590)"
700,"(675, 8536)"
701,"(675, 22141)"
702,"(677, 11665)"
703,"(677, 19012)"
704,"(678, 9792)"
705,"(678, 20885)"
706,"(681, 14225)"
707,"(681, 16452)"
708,"(682, 1783)"
709,"(682, 28894)"
710,"(688, 560)"
711,"(688, 30117)"
712,"(689, 14598)"
